Sensor,Unique values,Minimum,Maximum,Mean,Standard deviation,Constant,Spearman correlation with RUL,Absolute Spearman correlation
sensor_11,166,46.69,48.43,47.410957715730206,0.2986555082437854,False,-0.7605451190684955,0.7605451190684955
sensor_13,160,2387.0,2388.61,2388.07346202459,0.1593463339561372,False,-0.7548563646031285,0.7548563646031285
sensor_8,156,2386.98,2388.6,2388.073185683098,0.1592553509698759,False,-0.7535291201414405,0.7535291201414405
sensor_4,4071,1378.37,1439.98,1404.3002591060554,9.702829923099781,False,-0.7237478598208463,0.7237478598208463
sensor_17,12,388.0,399.0,392.54665058025967,1.7584305851769932,False,-0.7052922522922153,0.7052922522922153
sensor_3,3149,1564.3,1615.39,1588.0255147650234,6.779430800064592,False,-0.6775987451038596,0.6775987451038596
sensor_2,325,640.99,645.11,642.450016086407,0.5194057880141196,False,-0.6452092311348102,0.6452092311348102
sensor_9,6258,9017.98,9228.91,9064.17119843732,20.002021806742516,False,-0.6133748500023677,0.6133748500023677
sensor_14,5644,8099.68,8278.39,8144.311290359646,16.532583648084966,False,-0.5280798302992034,0.5280798302992034
sensor_10,4,1.29,1.32,1.3013282776054236,0.0035929822575635393,False,-0.46011830253776553,0.46011830253776553
sensor_6,17,21.45,21.61,21.594844881075492,0.018777536407541963,False,-0.2518923619485627,0.2518923619485627
sensor_12,1704,517.77,537.4,523.2067229690911,3.3249961462365927,False,-0.15167057666603156,0.15167057666603156
sensor_7,1776,549.66,570.49,555.3107796162243,3.5067272068936854,False,-0.13924178242362317,0.13924178242362317
sensor_21,5826,22.8995,23.9159,23.401686567850163,0.14945371957471584,False,0.023492199851967408,0.023492199851967408
sensor_20,161,38.17,39.85,39.001578191428244,0.24854365204917694,False,0.02249527181557301,0.02249527181557301
sensor_15,2954,8.1563,8.5699,8.392489141675284,0.060787965197773804,False,-0.02240961679416408,0.02240961679416408
sensor_1,1,518.67,518.67,518.67,0.0,True,0.0,0.0
sensor_5,1,14.62,14.62,14.620000000000001,1.776407868740242e-15,True,0.0,0.0
sensor_16,1,0.03,0.03,0.030000000000000002,3.469546618633285e-18,True,0.0,0.0
sensor_18,1,2388.0,2388.0,2388.0,0.0,True,0.0,0.0
sensor_19,1,100.0,100.0,100.0,0.0,True,0.0,0.0
