Sensor,Unique values,Minimum,Maximum,Mean,Standard deviation,Constant,Spearman correlation with RUL,Absolute Spearman correlation
sensor_11,166,46.69,48.43,47.410957715730206,0.2986555082437854,False,-0.7605451190684955,0.7605451190684955
sensor_13,160,2387.0,2388.61,2388.07346202459,0.1593463339561372,False,-0.7548563646031285,0.7548563646031285
sensor_8,156,2386.98,2388.6,2388.073185683098,0.1592553509698759,False,-0.7535291201414405,0.7535291201414405
sensor_4,4071,1378.37,1439.98,1404.3002591060554,9.702829923099781,False,-0.7237478598208463,0.7237478598208463
sensor_17,12,388.0,399.0,392.54665058025967,1.7584305851769932,False,-0.7052922522922153,0.7052922522922153
sensor_3,3149,1564.3,1615.39,1588.0255147650234,6.779430800064592,False,-0.6775987451038596,0.6775987451038596
sensor_2,325,640.99,645.11,642.450016086407,0.5194057880141196,False,-0.6452092311348102,0.6452092311348102
sensor_9,6258,9017.98,9228.91,9064.17119843732,20.002021806742516,False,-0.6133748500023677,0.6133748500023677
sensor_14,5644,8099.68,8278.39,8144.311290359646,16.532583648084966,False,-0.5280798302992034,0.5280798302992034
sensor_10,4,1.29,1.32,1.3013282776054236,0.0035929822575635393,False,-0.46011830253776553,0.46011830253776553
